Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
3892,2534,13,Q9HC35,4379323.9879,65.7241,3.4481,19301935759714.2,0.832,0,wan_et_al_15_hs
3893,2537,13,Q9HCC0,11946814.3633,24.1994,8.149,173763949423837,0.87,0,wan_et_al_15_hs
3894,2537,13,Q9HCC0,6567509.138,104.9925,2.2907,173763949423837,0.87,0,wan_et_al_15_hs
3895,2539,13,Q9HCJ6,3308691.5612,51.4869,1.738,2721849313523.81,0.8815,0,wan_et_al_15_hs
3896,2540,13,Q9HCN4,9869325.0375,78.4147,2.2751,14102020581809.7,0.9431,0,wan_et_al_15_hs
3897,2541,13,Q9HCN8,9548721.7626,23.9355,1.5377,17587061744373.4,0.8747,0,wan_et_al_15_hs
3898,2541,13,Q9HCN8,1501617.8823,96.9992,1.4008,17587061744373.4,0.8747,0,wan_et_al_15_hs
3899,2542,13,Q9HD15,130176718.0839,25.4312,1.8417,1.17582037655722E+015,0.9714,0,wan_et_al_15_hs
3900,2544,13,Q9HDC9,1881906.4906,65,1.3912,191288932455516,0.0319,0,wan_et_al_15_hs
3901,2545,13,Q9NNW7,7808557.4141,36.5199,1.6537,1995950398214.3,0.9843,0,wan_et_al_15_hs
3902,2546,13,Q9NP61,4589478.0977,26.1673,2.2055,31779476306190.7,0.9607,0,wan_et_al_15_hs
3903,2546,13,Q9NP61,17736259.3902,37.8461,1.719,31779476306190.7,0.9607,0,wan_et_al_15_hs
3904,2549,13,Q9NP97,9700815.9039,8.4271,4.1535,370977596316365,0.9713,0,wan_et_al_15_hs
3905,2549,13,Q9NP97,70370274.0987,105.5265,1.6508,370977596316365,0.9713,0,wan_et_al_15_hs
3906,2549,13,Q9NP97,13198256.6271,48,1.4031,370977596316365,0.9713,0,wan_et_al_15_hs
3907,2549,13,Q9NP97,35678226.2374,57.8003,1.564,370977596316365,0.9713,0,wan_et_al_15_hs
3908,2549,13,Q9NP97,17149474.1708,80.9305,-1.9191,370977596316365,0.9713,0,wan_et_al_15_hs
3909,2550,13,Q9NPA8,1937811.6079,33,1.3935,4380758085249.02,0.7885,0,wan_et_al_15_hs
3910,2550,13,Q9NPA8,1963360.3737,81.8946,2.1377,4380758085249.02,0.7885,0,wan_et_al_15_hs
3911,2551,13,Q9NPD3,10901287.6401,54.9866,2.4272,41100102379034.7,0.9457,0,wan_et_al_15_hs
3912,2551,13,Q9NPD3,10547470.7468,60.2552,2.765,41100102379034.7,0.9457,0,wan_et_al_15_hs
3913,2552,13,Q9NPD8,613047335.0887,20.5467,-0.284,5198114634099.6,0.9998,0,wan_et_al_15_hs
3914,2552,13,Q9NPD8,108365923.8229,22.3711,-1.275,5198114634099.6,0.9998,0,wan_et_al_15_hs
3915,2553,13,Q9NPE2,5532711.9288,47.6151,-1.5305,5457161623367.33,0.9245,0,wan_et_al_15_hs
3916,2556,13,Q9NPJ3,56262884.8311,35.4946,1.312,846811285955031,0.8709,0,wan_et_al_15_hs
3917,2557,13,Q9NPQ8,40866117.3009,61.8374,1.9846,142931622767325,0.8752,0,wan_et_al_15_hs
3918,2558,13,Q9NQ29,22751346.0985,84.4339,1.5338,78615945558763,0.9258,0,wan_et_al_15_hs
3919,2560,13,Q9NQ50,28020032.12,55.497,1.4528,43986582468296.1,0.9732,0,wan_et_al_15_hs
3920,2561,13,Q9NQ88,6122953.7524,13.5308,1.4521,12498643566479.2,0.8496,0,wan_et_al_15_hs
3921,2562,13,Q9NQC3,43035262.6341,63.262,1.5821,405681944486192,0.9187,0,wan_et_al_15_hs
3922,2562,13,Q9NQC3,8605207.8021,99.3669,2.6105,405681944486192,0.9187,0,wan_et_al_15_hs
3923,2562,13,Q9NQC3,23818480.6758,70.9966,5.9327,405681944486192,0.9187,0,wan_et_al_15_hs
3924,2563,13,Q9NQG5,23940075.2209,44.8108,1.5271,71195508296777.6,0.9116,0,wan_et_al_15_hs
3925,2564,13,Q9NQL2,3172275.4639,49.4998,1.522,9531343777607.24,0.681,0,wan_et_al_15_hs
3926,2565,13,Q9NQP4,7363923.6652,45.0694,1.5906,24428954634537.3,0.7853,0,wan_et_al_15_hs
3927,2566,13,Q9NQR4,18642625.7891,6.5223,1.421,125065192753172,0.8381,0,wan_et_al_15_hs
3928,2567,13,Q9NQT4,9521794.7434,58.506,2.9686,58021428099092.9,0.879,0,wan_et_al_15_hs
3929,2568,13,Q9NQT8,1812138.9401,55.2271,1.9312,583586777763.771,0.9244,0,wan_et_al_15_hs
3930,2569,13,Q9NQW6,191409816.3147,43.5356,1.6838,753317125539786,0.9908,0,wan_et_al_15_hs
3931,2570,13,Q9NQW7,69665622.0432,43.2084,1.4702,302347145760008,0.9564,0,wan_et_al_15_hs
3932,2571,13,Q9NR12,54711708.1379,34.8281,1.5135,457178105164887,0.9303,0,wan_et_al_15_hs
3933,2571,13,Q9NR12,8061894.5871,28.8552,3.7277,457178105164887,0.9303,0,wan_et_al_15_hs
3934,2572,13,Q9NR19,6489061.0249,36.4148,3.0401,41481342925316.1,0.7402,0,wan_et_al_15_hs
3935,2573,13,Q9NR28,96350095.5584,56.6046,1.5529,1.01402461324072E+015,0.959,0,wan_et_al_15_hs
3936,2573,13,Q9NR28,55510243.0049,63.8994,-2.0437,1.01402461324072E+015,0.959,0,wan_et_al_15_hs
3937,2574,13,Q9NR30,6100036808.5533,65.7645,1.7748,4630183605483811,0.9714,0,wan_et_al_15_hs
3938,2575,13,Q9NR45,77680281.6744,13.5689,1.678,509611051676862,0.9609,0,wan_et_al_15_hs
3939,2576,13,Q9NR46,1738213.1477,39.5,1.3067,1216459133752.73,0.8155,0,wan_et_al_15_hs
3940,2577,13,Q9NR50,72158709.4954,77.9813,1.6022,404812738052149,0.9622,0,wan_et_al_15_hs
3941,2578,13,Q9NR56,16047403.5315,12.4921,1.6431,22068964972713,0.9821,0,wan_et_al_15_hs
3942,2578,13,Q9NR56,13058617.3194,15.6466,-3.3709,22068964972713,0.9821,0,wan_et_al_15_hs
3943,2579,13,Q9NRF9,31360540.0575,59.9498,1.4866,180373628817948,0.9791,0,wan_et_al_15_hs
3944,2579,13,Q9NRF9,26278910.0749,59.6426,4.0528,180373628817948,0.9791,0,wan_et_al_15_hs
3945,2580,13,Q9NRG0,22214195.2651,60.2969,1.9048,49974284305979.7,0.9571,0,wan_et_al_15_hs
3946,2581,13,Q9NRH3,4142945683.5289,41.1989,0.0645,1.82966139008895E+015,0.9726,0,wan_et_al_15_hs
3947,2581,13,Q9NRH3,191248805.8301,65.7136,1.4969,1.82966139008895E+015,0.9726,0,wan_et_al_15_hs
3948,2582,13,Q9NRN7,60939409.7943,25.6209,1.8855,792025945184457,0.9288,0,wan_et_al_15_hs
3949,2582,13,Q9NRN7,20010519.1307,29.1502,3.0685,792025945184457,0.9288,0,wan_et_al_15_hs
3950,2582,13,Q9NRN7,25215141.852,105.0569,2.4677,792025945184457,0.9288,0,wan_et_al_15_hs
3951,2583,13,Q9NRV9,28534220.5892,13.2693,1.344,142117432370177,0.9345,0,wan_et_al_15_hs
3952,2584,13,Q9NRW1,1637364.1142,27,1.3912,139034410505291,0.0319,0,wan_et_al_15_hs
3953,2585,13,Q9NRW7,703397.8602,33.9343,4.5893,1501166312828.97,0.8577,0,wan_et_al_15_hs
3954,2585,13,Q9NRW7,568627.5099,60.4624,7.0865,1501166312828.97,0.8577,0,wan_et_al_15_hs
3955,2585,13,Q9NRW7,1473090.1973,64.5338,2.0952,1501166312828.97,0.8577,0,wan_et_al_15_hs
3956,2585,13,Q9NRW7,477913.3644,73.9961,1.4983,1501166312828.97,0.8577,0,wan_et_al_15_hs
3957,2587,13,Q9NRX2,1336879.6741,56.4741,1.539,25189665769105.6,0.8794,0,wan_et_al_15_hs
3958,2587,13,Q9NRX2,1989795.2364,79.7063,12.9188,25189665769105.6,0.8794,0,wan_et_al_15_hs
3959,2587,13,Q9NRX2,7563882.125,84.0267,-1.3923,25189665769105.6,0.8794,0,wan_et_al_15_hs
3960,2588,13,Q9NRX4,137612925.1748,25.4785,1.1458,19450672732504.9,0.9986,0,wan_et_al_15_hs
3961,2588,13,Q9NRX4,99696923.1636,26.9804,-0.9351,19450672732504.9,0.9986,0,wan_et_al_15_hs
3962,2590,13,Q9NSC5,14954829.2043,45.3449,1.7911,61347486180300.6,0.9003,0,wan_et_al_15_hs
3963,2591,13,Q9NSD9,16420391713933,37.3695,2.0821,478014789909018,0.9647,0,wan_et_al_15_hs
3964,2592,13,Q9NSE4,133642088.5165,37.5026,1.5355,474205431867963,0.987,0,wan_et_al_15_hs
3965,2593,13,Q9NSV4,437964.4514,45.1525,2.5068,30237013672.4943,0.9433,0,wan_et_al_15_hs
3966,2594,13,Q9NSY2,695019.7695,29.4959,1.4612,123683202810.742,0.8846,0,wan_et_al_15_hs
3967,2595,13,Q9NT62,42487329.5575,64.022,2.3301,234911006042155,0.9661,0,wan_et_al_15_hs
3968,2595,13,Q9NT62,7190199.0803,78.1714,12.0189,234911006042155,0.9661,0,wan_et_al_15_hs
3969,2595,13,Q9NT62,11360970.4618,99.4061,2.4959,234911006042155,0.9661,0,wan_et_al_15_hs
3970,2595,13,Q9NT62,12890766.913,69.5841,2.8871,234911006042155,0.9661,0,wan_et_al_15_hs
3971,2596,13,Q9NTI5,9904449.9819,55.4556,3.5571,11217429393553.2,0.9699,0,wan_et_al_15_hs
3972,2597,13,Q9NTJ3,8161483.9829,43.7927,-1.6525,1.16257729971897E+015,0.8943,0,wan_et_al_15_hs
3973,2597,13,Q9NTJ3,25703982.3,73.9341,14.6861,1.16257729971897E+015,0.8943,0,wan_et_al_15_hs
3974,2597,13,Q9NTJ3,19109477.9129,98.8492,2.3907,1.16257729971897E+015,0.8943,0,wan_et_al_15_hs
3975,2597,13,Q9NTJ3,21850487.2595,89.78,-2.4428,1.16257729971897E+015,0.8943,0,wan_et_al_15_hs
3976,2598,13,Q9NTJ5,332127435.5433,67.6095,3.8676,8319788184171.7,0.451,0,wan_et_al_15_hs
3977,2598,13,Q9NTJ5,1300816.7812,80.4933,6.3202,8319788184171.7,0.451,0,wan_et_al_15_hs
3978,2599,13,Q9NTK5,152849856.6435,34.9617,1.5319,1.05554803834505E+016,0.8789,0,wan_et_al_15_hs
3979,2599,13,Q9NTK5,36598400.5946,33.406,7.6385,1.05554803834505E+016,0.8789,0,wan_et_al_15_hs
3980,2600,13,Q9NTX5,6972120.9328,32.372,4.2574,25736688822493,0.8976,0,wan_et_al_15_hs
3981,2601,13,Q9NTZ6,31596500.1654,17.4797,4.9246,895938656746828,0.8642,0,wan_et_al_15_hs
3982,2602,13,Q9NUB1,2369604.0849,15.7285,1.4568,904107448883.249,0.9538,0,wan_et_al_15_hs
3983,2602,13,Q9NUB1,1162235.3229,25.1458,6.0083,904107448883.249,0.9538,0,wan_et_al_15_hs
3984,2603,13,Q9NUP9,5007788.3642,66.0841,21.1236,521542055708358,0.5805,0,wan_et_al_15_hs
3985,2603,13,Q9NUP9,11071905.7552,46.7605,-4.532,521542055708358,0.5805,0,wan_et_al_15_hs
3986,2604,13,Q9NUQ3,33126836.0039,41.3662,2.8265,36930595912803.7,0.9872,0,wan_et_al_15_hs
3987,2605,13,Q9NUQ6,37335702.1802,60.6322,1.5538,326226317306237,0.9048,0,wan_et_al_15_hs
3988,2607,13,Q9NUQ9,34614078.5941,13.6529,1.7741,297844078376265,0.8888,0,wan_et_al_15_hs
3989,2608,13,Q9NUU7,84555919.0282,38.5363,1.2987,1.528626174425E+015,0.893,0,wan_et_al_15_hs
3990,2609,13,Q9NUY8,4713030.5594,49.1955,1.6954,3854060863401.3,0.9346,0,wan_et_al_15_hs
3991,2610,13,Q9NV35,3569196.0717,37.3169,1.6061,1243722936044.48,0.9551,0,wan_et_al_15_hs
3992,2611,13,Q9NV56,21760443.1322,56.5063,0.3998,1409925070363.68,0.9359,0,wan_et_al_15_hs
3993,2611,13,Q9NV56,83769650.5434,55.348,-0.2028,1409925070363.68,0.9359,0,wan_et_al_15_hs
3994,2612,13,Q9NVA2,143011174.1308,43.6497,1.6614,227935907318564,0.9948,0,wan_et_al_15_hs
3995,2613,13,Q9NVG8,4696789.9585,37.8495,1.9747,5606757328474.56,0.8924,0,wan_et_al_15_hs
3996,2614,13,Q9NVJ2,3014734.9977,20.4758,1.8897,344734964443.424,0.9697,0,wan_et_al_15_hs
3997,2615,13,Q9NVM6,27916124.0102,46.9368,1.396,257930167527461,0.9198,0,wan_et_al_15_hs
3998,2616,13,Q9NVM9,2239428.2774,47.3939,1.7706,125865220598.332,0.9821,0,wan_et_al_15_hs
3999,2618,13,Q9NVP2,20076961.6919,78.5,1.5487,108953150876050,0.8909,0,wan_et_al_15_hs
4000,2619,13,Q9NVS9,10949382.5724,37.3604,2.0617,39785536814873.8,0.8271,0,wan_et_al_15_hs
4001,2619,13,Q9NVS9,3985278.7934,102.985,4.4634,39785536814873.8,0.8271,0,wan_et_al_15_hs
4002,2620,13,Q9NVT9,3487058.05,40.0934,2.1653,2824044746354.4,0.9252,0,wan_et_al_15_hs
4003,2621,13,Q9NVU0,2727981.8363,75.9436,2.9932,4654478449860.76,0.8348,0,wan_et_al_15_hs
4004,2622,13,Q9NVU7,2024518.9381,73.8472,1.6604,815572745448.945,0.8891,0,wan_et_al_15_hs
4005,2624,13,Q9NVX2,40909841.7441,16,1.3912,6320678082506384,0.4099,0,wan_et_al_15_hs
4006,2625,13,Q9NVZ3,26143361.9643,15.9749,2.1901,31519671651778.7,0.9725,0,wan_et_al_15_hs
4007,2628,13,Q9NWH9,16188552.8617,58.2261,1.8553,33658386817479.9,0.9438,0,wan_et_al_15_hs
4008,2628,13,Q9NWH9,56369353.0678,61.4727,0.3064,33658386817479.9,0.9438,0,wan_et_al_15_hs
4009,2629,13,Q9NWT1,3157896.936,60.5,1.2782,3726006407597.03,0.8244,0,wan_et_al_15_hs
4010,2630,13,Q9NWU2,4893324.6097,50.0929,1.5504,9784064186998.32,0.9064,0,wan_et_al_15_hs
4011,2630,13,Q9NWU2,855383.3262,90.7102,3.105,9784064186998.32,0.9064,0,wan_et_al_15_hs
4012,2630,13,Q9NWU2,1378616.0085,58.282,7.8852,9784064186998.32,0.9064,0,wan_et_al_15_hs
4013,2630,13,Q9NWU2,4023319.8306,71.2453,1.9025,9784064186998.32,0.9064,0,wan_et_al_15_hs
4014,2631,13,Q9NWX6,5353175.9688,37.878,2.0484,9958622289081.95,0.862,0,wan_et_al_15_hs
4015,2632,13,Q9NWY4,24728965.0343,39.7245,1.4692,123717454395082,0.9313,0,wan_et_al_15_hs
4016,2634,13,Q9NX20,27390919.7746,56.7727,1.66,14439664522154.8,0.9924,0,wan_et_al_15_hs
4017,2636,13,Q9NX55,114605017.059,48.7872,2.3602,2995103915512689,0.9259,0,wan_et_al_15_hs
4018,2637,13,Q9NX58,30880111234.9409,76.8031,1.8208,8080154527031046,0.965,0,wan_et_al_15_hs
4019,2639,13,Q9NXA8,2492005.636,8.5,1.5425,4371429810009.57,0.7473,0,wan_et_al_15_hs
4020,2640,13,Q9NXG2,9757882.7435,45.5684,1.4881,57382591975377.5,0.7595,0,wan_et_al_15_hs
4021,2641,13,Q9NXH9,22318991.5468,44.4899,1.4488,24708710295816.9,0.9758,0,wan_et_al_15_hs
4022,2642,13,Q9NXR1,13240460906.7524,56.1965,1.6515,416772822819823,0.9623,0,wan_et_al_15_hs
4023,2643,13,Q9NXR7,11789543.2103,65.5243,2.2878,30335986717877.9,0.9257,0,wan_et_al_15_hs
4024,2644,13,Q9NXV6,724657.2213,43.9991,1.3912,5364234528025.83,0.1944,0,wan_et_al_15_hs
4025,2645,13,Q9NY12,16053006.0821,68.6151,1.712,44864095536761.1,0.9228,0,wan_et_al_15_hs
4026,2646,13,Q9NY27,7113413.9687,65.5358,2.3915,4465814337727.03,0.9709,0,wan_et_al_15_hs
4027,2647,13,Q9NYB9,6511819.3037,65.8821,10.0662,43951360440874.3,0.9235,0,wan_et_al_15_hs
4028,2647,13,Q9NYB9,1513686.2298,99.0007,1.3974,43951360440874.3,0.9235,0,wan_et_al_15_hs
4029,2647,13,Q9NYB9,6696245.111,80.253,2.3118,43951360440874.3,0.9235,0,wan_et_al_15_hs
4030,2648,13,Q9NYJ1,55665400.5881,23.0019,1.7142,28225019166453,0.9958,0,wan_et_al_15_hs
4031,2649,13,Q9NYK5,1100651.5245,32.4705,2.2048,142629622673.706,0.9528,0,wan_et_al_15_hs
4032,2650,13,Q9NYL9,13500932.2693,77.1437,18.5915,1.49381640014636E+015,0.9339,0,wan_et_al_15_hs
4033,2650,13,Q9NYL9,42879767.8902,64.5483,3.8896,1.49381640014636E+015,0.9339,0,wan_et_al_15_hs
4034,2650,13,Q9NYL9,13739092.9059,83.3424,6.3998,1.49381640014636E+015,0.9339,0,wan_et_al_15_hs
4035,2650,13,Q9NYL9,29873357.3362,69.7708,-1.5405,1.49381640014636E+015,0.9339,0,wan_et_al_15_hs
4036,2651,13,Q9NYR9,495959.0594,23.4117,1.1971,170175151500.576,0.702,0,wan_et_al_15_hs
4037,2652,13,Q9NYU2,170921821.5717,48.3709,1.4045,6226758015043210,0.9098,0,wan_et_al_15_hs
4038,2653,13,Q9NYY8,2763737.4771,51.1577,2.1737,2270218308441.13,0.8785,0,wan_et_al_15_hs
4039,2654,13,Q9NZ08,8460707.2191,15.5699,1.9442,4849780421618.94,0.9762,0,wan_et_al_15_hs
4040,2654,13,Q9NZ08,1660049.3238,22.1336,6.438,4849780421618.94,0.9762,0,wan_et_al_15_hs
4041,2656,13,Q9NZB2,6998013.549,52.4005,2.2994,36585015613568.3,0.8772,0,wan_et_al_15_hs
4042,2656,13,Q9NZB2,8205368.1997,70.0039,1.886,36585015613568.3,0.8772,0,wan_et_al_15_hs
4043,2658,13,Q9NZJ9,2699903.4352,26.8588,4.3703,4435082756372.93,0.9747,0,wan_et_al_15_hs
4044,2658,13,Q9NZJ9,6672814.445,36.0803,3.5699,4435082756372.93,0.9747,0,wan_et_al_15_hs
4045,2659,13,Q9NZL4,2477496.8289,40.1438,1.6559,2719847926212.45,0.8107,0,wan_et_al_15_hs
