Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
57,41,9,P00950,5798206501.6331,8.5685,1.8966,1.78389652229132E+018,0.9805,0,wt_wan_et_al_15
58,41,9,P00950,2662907486.1111,4.2874,1.4918,1.78389652229132E+018,0.9805,0,wt_wan_et_al_15
59,42,9,P00958,1263688592.9812,19.5411,3.9612,6.12128970781582E+017,0.9218,0,wt_wan_et_al_15
60,43,9,P01097,23477989.3861,5.706,2.0522,67391659546524.6,0.9571,0,wt_wan_et_al_15
61,45,9,P01119,20438384.5502,22.9315,1.9542,4824308208657.58,0.9955,0,wt_wan_et_al_15
62,46,9,P01120,102929136.4294,17.8662,3.8647,6192002826070270,0.8825,0,wt_wan_et_al_15
63,47,9,P01123,67578079.3089,4.7407,1.7135,734089930193979,0.9647,0,wt_wan_et_al_15
64,47,9,P01123,33515428.9311,12.1117,6.1708,734089930193979,0.9647,0,wt_wan_et_al_15
65,48,9,P02293,894470409.2094,59.7686,6.3323,3.07254745079167E+017,0.9328,0,wt_wan_et_al_15
66,48,9,P02293,4024901308.3266,54.8579,3.6476,3.07254745079167E+017,0.9328,0,wt_wan_et_al_15
67,49,9,P02294,1676588266.8292,57.7883,2.3538,1.94348638314347E+017,0.9977,0,wt_wan_et_al_15
68,49,9,P02294,3564566981.288,54.8112,2.1198,1.94348638314347E+017,0.9977,0,wt_wan_et_al_15
69,49,9,P02294,819084833.3325,60.0806,6.5736,1.94348638314347E+017,0.9977,0,wt_wan_et_al_15
70,50,9,P02309,1887206437.2202,57.5648,6.9326,2.2953536863903E+017,0.8851,0,wt_wan_et_al_15
71,51,9,P02400,1399298877.8117,35.9409,3.4435,9.10509947045445E+018,0.9112,0,wt_wan_et_al_15
72,51,9,P02400,7132715516.575,60.1194,3.8853,9.10509947045445E+018,0.9112,0,wt_wan_et_al_15
73,51,9,P02400,3394070786.8777,41.8148,1.725,9.10509947045445E+018,0.9112,0,wt_wan_et_al_15
74,52,9,P02406,826333816.9967,56.6524,9.7016,1.25192746969511E+017,0.9347,0,wt_wan_et_al_15
75,52,9,P02406,1942239159.0569,51.9511,1.8658,1.25192746969511E+017,0.9347,0,wt_wan_et_al_15
76,52,9,P02406,835959122.4036,54.2343,4.1452,1.25192746969511E+017,0.9347,0,wt_wan_et_al_15
77,53,9,P02407,7118587727.0751,48.9745,3.8605,3.85277528005885E+018,0.967,0,wt_wan_et_al_15
78,54,9,P02829,95978561099.9064,37.2468,-2.0277,4.86077693043166E+016,0.9392,0,wt_wan_et_al_15
79,55,9,P02992,5683080657.4818,26.1517,1.7267,1.94222537795667E+017,0.949,0,wt_wan_et_al_15
80,56,9,P02994,3727683598.6437,18.6228,14.8437,1.21334649508644E+019,0.9501,0,wt_wan_et_al_15
81,56,9,P02994,12152212933.8225,26.3561,1.8804,1.21334649508644E+019,0.9501,0,wt_wan_et_al_15
82,59,9,P03965,4752564588.4269,25.6965,1.8366,2.72140598365843E+017,0.9933,0,wt_wan_et_al_15
83,60,9,P04037,397942573.3669,9.8735,2.133,1591299971891830,0.9803,0,wt_wan_et_al_15
84,61,9,P04046,143091378.171,30.3465,5.3239,8649828367242279,0.9079,0,wt_wan_et_al_15
85,61,9,P04046,26462475.8372,52.5709,28.0017,8649828367242279,0.9079,0,wt_wan_et_al_15
86,62,9,P04050,45211399023.6518,50.4107,-2.1612,6.63648932224034E+016,0.9694,0,wt_wan_et_al_15
87,63,9,P04051,65423447.2005,55.5398,1.6623,1075653575705907,0.9018,0,wt_wan_et_al_15
88,64,9,P04076,4987838508.7233,19.4173,1.442,1.60027935142188E+018,0.9675,0,wt_wan_et_al_15
89,65,9,P04147,4688595614.0443,18.6026,1.7989,4.07623515258184E+017,0.9945,0,wt_wan_et_al_15
90,65,9,P04147,1255757953.2577,21.1024,3.3091,4.07623515258184E+017,0.9945,0,wt_wan_et_al_15
91,66,9,P04161,83291409.52,19.8754,1.4046,2.23985469649066E+015,0.9184,0,wt_wan_et_al_15
92,67,9,P04449,1122589470.891,52.7236,1.9605,1.77133633879487E+017,0.8942,0,wt_wan_et_al_15
93,68,9,P04456,1806192802.9895,51.3388,5.1486,9.8920211812287E+017,0.9632,0,wt_wan_et_al_15
94,68,9,P04456,5255268118.1733,46.9784,2.0902,9.8920211812287E+017,0.9632,0,wt_wan_et_al_15
95,69,9,P04650,3855364377.7032,56.6807,1.8534,4.82582818357424E+017,0.9788,0,wt_wan_et_al_15
96,70,9,P04786,79979166.7436,34.9999,1.5581,725950621985088,0.9249,0,wt_wan_et_al_15
97,71,9,P04801,2955425504.1927,27.6191,1.8827,9.05045694224708E+017,0.941,0,wt_wan_et_al_15
98,72,9,P04802,4959394654.0764,27.5724,-0.9418,5.74474077026337E+016,0.9881,0,wt_wan_et_al_15
99,72,9,P04802,4718640927.8058,29.1868,0.8748,5.74474077026337E+016,0.9881,0,wt_wan_et_al_15
100,74,9,P04806,5300968504.8351,17.8869,1.4638,2.75590563040436E+018,0.9636,0,wt_wan_et_al_15
101,74,9,P04806,1171111918.5326,19.1957,1.9301,2.75590563040436E+018,0.9636,0,wt_wan_et_al_15
102,75,9,P04807,6150807508.6159,12.0123,1.9126,6.50316425497551E+017,0.9985,0,wt_wan_et_al_15
103,75,9,P04807,8148836839.1377,14.5216,2.6778,6.50316425497551E+017,0.9985,0,wt_wan_et_al_15
104,76,9,P04911,1523172716.2878,55.0994,2.2866,5.98496737388435E+016,0.9842,0,wt_wan_et_al_15
105,76,9,P04911,1167027310.5951,58.249,4.4061,5.98496737388435E+016,0.9842,0,wt_wan_et_al_15
106,77,9,P04912,2168167844.8746,56.2609,3.4616,8.01304402701152E+017,0.9393,0,wt_wan_et_al_15
107,78,9,P05030,344149729.2017,81.32,1.8905,4.11755966534848E+016,0.9868,0,wt_wan_et_al_15
108,78,9,P05030,579464822.9621,84.1792,6.333,4.11755966534848E+016,0.9868,0,wt_wan_et_al_15
109,78,9,P05030,150362986.6627,96.5049,4.7357,4.11755966534848E+016,0.9868,0,wt_wan_et_al_15
110,79,9,P05150,52772114.1503,4.1073,1.3868,828229310042914,0.9234,0,wt_wan_et_al_15
111,80,9,P05317,9997125072.5092,58.8996,2.3606,6.92726095678079E+018,0.8843,0,wt_wan_et_al_15
112,81,9,P05318,925086304.2396,58.6719,2.1688,3.28417638906136E+016,0.9855,0,wt_wan_et_al_15
113,81,9,P05318,284965252.9065,79.1054,1.3921,3.28417638906136E+016,0.9855,0,wt_wan_et_al_15
114,82,9,P05319,5578428217.4884,59.9182,3.4419,2.91179077354573E+018,0.9537,0,wt_wan_et_al_15
115,83,9,P05373,585678963.4417,32.348,1.4922,1.2359344537771E+016,0.9638,0,wt_wan_et_al_15
116,84,9,P05453,1484694233.9533,19.486,1.7251,5.0541253549605E+016,0.99,0,wt_wan_et_al_15
117,84,9,P05453,253885122.3495,22.683,1.6911,5.0541253549605E+016,0.99,0,wt_wan_et_al_15
118,85,9,P05694,9207160306.7986,12.246,5.3907,2.58229318717423E+020,0.6649,0,wt_wan_et_al_15
119,86,9,P05737,2861905483728.95,46.6148,2.038,2.01390980746754E+018,0.9636,0,wt_wan_et_al_15
120,87,9,P05738,107363991.8881,35.8269,1.9848,763036840072776,0.9722,0,wt_wan_et_al_15
121,88,9,P05739,6012526281.6731,42.556,1.9068,1.06863222856614E+018,0.9826,0,wt_wan_et_al_15
