Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
2364,1768,12,Q13310,18042845.3727,24.1489,2.0127,23065097875294.6,0.9897,0,kirkwood_rep3
2365,1769,12,Q13315,2110590.6169,15.3131,2.571,62401478281.6982,0.9946,0,kirkwood_rep3
2366,1770,12,Q13325,1897786.4959,26.5549,3.9242,1004625391391.41,0.9343,0,kirkwood_rep3
2367,1771,12,Q13330,3043221.7172,12.8312,2.4036,410800177917.008,0.985,0,kirkwood_rep3
2368,1772,12,Q13347,286277014.0638,11.3348,1.9689,483109508290887,0.9976,0,kirkwood_rep3
2369,1772,12,Q13347,70279585.083,18.4531,2.1334,483109508290887,0.9976,0,kirkwood_rep3
2370,1773,12,Q13356,3108586.8474,28.251,2.5791,1798257974162.13,0.9476,0,kirkwood_rep3
2371,1773,12,Q13356,3159261.7341,37.6186,-2.2753,1798257974162.13,0.9476,0,kirkwood_rep3
2372,1774,12,Q13362,1987028.936,22.6637,1.57,102732593381.639,0.9861,0,kirkwood_rep3
2373,1775,12,Q13371,1061540.3966,23.9755,1.5836,1465351758248.1,0.5825,0,kirkwood_rep3
2374,1776,12,Q13404,163716047.2358,32.4823,1.7906,2837409616297803,0.9507,0,kirkwood_rep3
2375,1777,12,Q13405,12137396.7382,9.8458,2.1259,181917649511.836,0.993,0,kirkwood_rep3
2376,1777,12,Q13405,3184044.8267,31.8513,2.0609,181917649511.836,0.993,0,kirkwood_rep3
2377,1778,12,Q13409,222371679.9843,7.5287,1.9675,83464289543049,0.9973,0,kirkwood_rep3
2378,1779,12,Q13416,4249035.256,19.5284,1.8917,374888244024.148,0.9914,0,kirkwood_rep3
2379,1780,12,Q13418,19212572.0441,21.1801,1.9767,9936150097116.01,0.9607,0,kirkwood_rep3
2380,1781,12,Q13423,33571944.3243,2.0427,2.3049,28033934701140.2,0.9785,0,kirkwood_rep3
2381,1782,12,Q13428,6382010.6288,23.7314,2.4901,3776068618557.5,0.9897,0,kirkwood_rep3
2382,1782,12,Q13428,25326099.4076,16.5493,3.3369,3776068618557.5,0.9897,0,kirkwood_rep3
2383,1782,12,Q13428,29257531.2665,20.1605,1.8379,3776068618557.5,0.9897,0,kirkwood_rep3
2384,1783,12,Q13435,70293168.8984,4.285,2.1666,183047905771598,0.9957,0,kirkwood_rep3
2385,1783,12,Q13435,259616946.7884,9.1298,2.4669,183047905771598,0.9957,0,kirkwood_rep3
2386,1784,12,Q13439,6726899.9332,3.4856,3.0077,9081482107414.74,0.939,0,kirkwood_rep3
2387,1785,12,Q13442,80809208.7769,26.4629,1.7597,275596144786361,0.9811,0,kirkwood_rep3
2388,1785,12,Q13442,19309160.3375,34.5428,5.3694,275596144786361,0.9811,0,kirkwood_rep3
2389,1786,12,Q13451,5130205.218,23.0575,3.3154,621571005510.63,0.9974,0,kirkwood_rep3
