Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
17621,14660,4,P0CX84,259228696.9181,9.2846,2.2414,2502059944236332,0.9839,0,wt_zymolyase_17
17622,14661,4,P0CX85,259228696.8087,9.2846,2.2414,2502059934326114,0.9839,0,wt_zymolyase_17
17623,14662,4,P10080,11099639.072,4.0949,4.117,126262468560256,0.9199,0,wt_zymolyase_17
17624,14662,4,P10080,13212939.1455,17.3177,7.3383,126262468560256,0.9199,0,wt_zymolyase_17
17625,14663,4,P10081,369272716.4176,1.5824,1.8941,8.85302257232839E+017,0.6138,0,wt_zymolyase_17
17626,14663,4,P10081,1369982556.7883,55.044,11.3527,8.85302257232839E+017,0.6138,0,wt_zymolyase_17
17627,14665,4,P10591,147156476.7575,59.7175,2.6158,1.91116620084083E+016,0.9168,0,wt_zymolyase_17
17628,14665,4,P10591,455765665.0823,38.9759,1.9607,1.91116620084083E+016,0.9168,0,wt_zymolyase_17
17629,14666,4,P10592,1687107735.0104,30.9103,2.0317,2.49866408166192E+017,0.9839,0,wt_zymolyase_17
17630,14666,4,P10592,1501427381.6367,33.9104,5.5718,2.49866408166192E+017,0.9839,0,wt_zymolyase_17
17631,14667,4,P10614,67933833.2791,3.5449,3.2308,513440211524100,0.9653,0,wt_zymolyase_17
17632,14669,4,P10659,233017000.5243,3.4465,2.7784,9.24216617849903E+015,0.9577,0,wt_zymolyase_17
17633,14669,4,P10659,77541747.4048,33.9226,1.4441,9.24216617849903E+015,0.9577,0,wt_zymolyase_17
17634,14669,4,P10659,69932818.3773,56.9557,1.3153,9.24216617849903E+015,0.9577,0,wt_zymolyase_17
17635,14669,4,P10659,100825286.9616,60.3558,6.5536,9.24216617849903E+015,0.9577,0,wt_zymolyase_17
17636,14670,4,P10662,4962493.6727,13.8638,1.588,7837696213230.27,0.8628,0,wt_zymolyase_17
17637,14671,4,P10664,1142113479.534,8.4698,2.1208,2.85918797912586E+016,0.979,0,wt_zymolyase_17
17638,14672,4,P10869,17885354.7793,61.8187,3.5908,49227398504192.6,0.9835,0,wt_zymolyase_17
17639,14672,4,P10869,85042126.0678,68.2655,1.7708,49227398504192.6,0.9835,0,wt_zymolyase_17
