uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
A6NHR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3719300	37757000	2462000	0	0	286520	0	0	0	0	0	0	0	0	0	0	0	0	0	908280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NIH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1416400	15429000	0	2572000	0	1092200	1086700	1709200	1311200	0	1943500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NIZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892850	4006700	6022900	4921200	4245200	0	0	0	0	2564100	0	0	0	1437200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2637800	3023200	2374700	4674400	4273100	3345500	5923700	0	2653600	5617700	2883900	2476200	8770600	7816900	13822000	0	5721400	7747800	6662800	10461000	6992000	0	11537000	11376000	2937600	9318200	11471000	13058000	11572000	9058400	8906500	0	4277300	32944000	0	6034900	11264000	22774000	0	7572000	0	21470000	0	0	0	8028000	15635000	16991000	19003000	0	0	0	0	0	0	0	0
A6NJ78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3055900	31777000	7503100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NMY6	0	0	0	0	0	16782	0	31854	0	0	0	86437000	39954000	25934000	2075200000	1718500000	457740000	584210000	591620000	492800000	640740000	891680000	1029100000	3857000000	2208500000	1357300000	940010000	1084700000	1423500000	1264200000	1418600000	1313900000	1935500000	919260000	257700000	41633000	30096000	31893000	13369000	17796000	1320100	4597800	539440	7625700	2893900	22488000	692310	1721300	947810	2525900	6120300	1382100	568650	800610	565610	757210	1773400	306650	998370	344030	0	330230	844300	508410	559420	836330	7494700	560050	160340	235880	574440	875200	1384200	661450	986880	742900	148430	708460	681680	347370	300770	0	0	336510	1232400	0	690730	160280	4124100	295840	1087700	0	2158900	0	0	0	1258300	2242200	1921300	3509600	0	7178600	52614000	129690000	124440000	93544000	33910000	122240000
A8MWD9	0	0	0	0	0	0	0	0	0	0	0	4533100	0	0	2698300	18282000	2119500	0	2989000	0	1478000	998900	665210	974550	793120	477970	0	463550	668040	721270	480920	0	858750	0	0	0	0	0	0	0	0	0	0	0	0	0	22418000	14211000	6513300	4030700	0	0	0	3736600	2926900	13076000	15158000	0	0	0	0	7133900	10577000	26945000	25585000	26598000	0	10106000	16471000	45731000	162840000	16847000	0	28761000	10569000	4278700	8755200	6047400	10727000	14543000	21627000	12695000	0	46904000	0	0	2820700	0	14433000	0	0	0	3292500	0	0	0	0	4038600	0	4615300	0	4013000	0	0	0	0	0	0
A8MXV4	0	0	0	0	0	0	0	0	0	0	0	7551500	922720	0	864940	608000	657240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2RPK0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280890	0	119110	0	0	0	0	0	0	0	0	0	0	0	165280	0	0	0	0	3905700	303600	579590	74715000	37674000	18880000	11919000	115480000	754900	6852300	3161800	3389900000	6027900000	199960000	42203000	38103000	1032200	1425100	1007500	8724400	572900	176190	512300	821060	614760	384190	656860	472640	878820	0	199790	931390	0	0	0	0	0	3994800	0	0	0	0	0	0	0	0	290130	0	523640	0	0	0	0	0	0
B5ME19	0	0	0	0	0	0	0	0	0	0	0	0	538020	0	0	44848	0	0	0	0	62934	65655	0	0	0	0	0	0	0	0	0	0	0	0	183070	136040	0	1204500	0	165510	0	0	2665400	0	0	0	107220	395180	0	145390	0	139550	0	0	202900	605590	461130	369970	0	1406000	243300	10327000	5770800	12697000	5463700	4789800	0	2503500	3383400	3513500	2109800	7052500	0	16313000	21472000	34239000	35743000	141780000	343180000	393120000	225650000	541860000	28066000	1083700000	651440000	5874200	635390000	620870000	296790000	285240000	182510000	0	280680000	4194700	0	0	178290000	149610000	219530000	77521000	2263300	3320100	0	0	0	0	0	0
C9JLW8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1176600	1934600	0	0	0	0	0	1372000	0	0	0	0	0	0	0	0	0	0	1646400	1434700	0	0	2252400	2026700	4488800	0	2515400	0	1645200	0	0	0	0	2224200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
