uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
O00116	89847000	56060000	30961000	3992600	3078500	2171500	813710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656020	339210	0	0	0	0	0	0	0	0	0	0	0
O00139	0	0	0	0	12593000	5023000	8483400	7250800	4306300	0	3143500	0	0	0	2942800	0	2189600	3308400	8306200	7206700	3611900	4235500	0	0	0	0	0	0	0	0	0	1069200	0	4898700	8120200	0	5717500	0	0	0
O00148	0	4778700	2613500	2619900	5524700	6421500	0	0	4121500	0	0	0	0	0	0	0	0	0	3624700	5952100	2458000	4677900	17681000	27711000	11039000	52991000	103910000	48813000	27527000	12780000	0	0	5113700	0	0	0	0	0	0	0
O00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3696500	3234600	0	0	0	0	0	0	0	0	0	0	0	0
O00159	6246700	5507000	2711600	364910	0	143440	98969	0	0	38904	86436	139500	63748	114340	73980	106320	58561	117280	101870	359440	87924	0	0	0	0	0	87445	114940	457840	1811600	4964900	115850000	664610000	920250000	876950000	246400000	53805000	9548900	535940	129370
O00161	1665700	2064700	2942500	1686300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3248100	1691700	0	0	0	0	0	0	0	0	0	0	0	0	0
O00165	1300300	2186500	3424600	1337500	1349700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00170	0	0	0	1132900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620340	1147500	1699800	8035300	35544000	46750000	50704000	27136000	10420000	2629000	1402100	1485500	1400200	0	0	0	0	0
O00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577500	1899000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00186	875320	1112000	1593200	353060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573250	508270	0	0	0	0	0	0	0	0	0	0	0
O00193	991690	784880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	827380	1526900	2778600	14558000	49643000	21831000	27650000	14251000	11009000	16427000	24436000	20006000	8724000	4972700	0	0	0	0	0
