uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
P00817	112400000	18581000	9932000	13248000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107440000	429890000	409570000	27738000	109250000	37401000	28699000	7258200	9002900	18135000	216870000	78256000	41639000	39796000	12563000	20439000	15163000	49368000	20357000	10318000	12709000	21832000	22917000	20056000	0	0	0	0	11067000	0	10961000
P00830	16930000	96598000	38200000	56749000	41979000	42992000	10024000	0	0	0	0	0	5599200	0	2970500	2467200	3470900	3348300	3070400	0	0	0	0	0	0	0	0	0	0	18530000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5384500	10526000	0	0	14068000	24675000	0	14532000	0	17570000	24869000	43531000	22545000	31967000	14505000	0	8849000	0
P00899	0	4438500	4362300	4856500	12332000	5947100	10952000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5753300	0	9988300	35606000	31700000	8023300	107370000	86285000	39855000	34330000	10268000	14124000	4682300	3613300	8718400	28886000	12704000	6401900	0	0	0	10509000	0	0	0	0	0
P00924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928410000	1286000000	193100000	86941000	102800000	68791000	24901000	23391000	32420000	120150000	185350000	194510000	86480000	54844000	54306000	50141000	51056000	62740000	31084000	10283000	29150000	0	0	0	0	0	0	0	0	0	0
P00925	935000000	53644000	80305000	87728000	34476000	48548000	60355000	0	0	0	61194000	0	0	49852000	0	15128000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33437000	4280400000	4041500000	1590700000	1932400000	957330000	546840000	189910000	380080000	325520000	2071400000	1316500000	1637200000	1293800000	1320400000	1699300000	541990000	877660000	1068900000	815080000	878350000	917000000	669620000	472820000	348120000	382620000	302870000	348720000	323070000	220770000	216040000	149980000
P00927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1868800	3451500	7606700	6810100	6742200	7509600	11543000	13339000	11065000	17521000	6192500	5071100	3355500	0	0
P00931	0	8726900	8377400	17256000	35763000	8458900	5107200	2813700	0	0	0	0	0	3709900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5073700	17038000	57382000	7287000	5444800	0	35305000	0	0	65118000	10436000	20792000	5138500	9066300	8115200	6445500	6066400	0	139430000	72786000	88056000	62501000	13693000	33496000	11643000	13089000	12816000	3959000	8718600	11156000	7552300	5301600	9404000	2618900	2647200	1677800	4702400	8661500	9625800
P00942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55983000	34701000	26765000	29841000	21705000	14375000	11326000	15673000	37808000	18491000	16788000	14644000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00950	26442000	7116100	14879000	16773000	35415000	10527000	20563000	2750500	0	0	0	0	864300	0	0	1876100	0	0	0	0	0	0	0	4030600	0	0	0	0	0	0	0	0	0	0	0	3422300	105300000	1403500000	1402500000	496950000	511940000	31241000	64331000	78948000	57680000	42929000	29951000	24770000	98859000	108510000	32479000	21288000	93960000	46663000	63176000	86571000	31593000	44668000	51049000	47756000	35067000	32990000	28984000	38444000	27039000	28250000	18770000	27274000	26801000	16371000
P00958	25700000	31763000	31063000	27739000	42659000	14995000	8340300	2214800	7303100	11763000	13327000	18194000	26389000	13051000	17972000	17222000	24588000	19384000	21355000	0	0	0	0	0	24281000	19189000	50124000	75102000	113760000	329320000	48690000	28834000	36316000	26946000	85814000	94942000	0	0	0	0	35791000	23134000	0	0	9958600	5070800	19795000	26189000	15272000	103120000	224130000	70918000	70681000	59088000	43684000	93578000	62611000	111410000	85323000	180170000	136240000	190230000	123680000	92136000	62924000	54896000	36251000	51645000	51364000	19223000
P02293	53132000	322080000	644520000	956370000	2217000	465680000	555770000	385380000	264710000	406850000	240610000	120560000	254270000	228740000	232650000	137240000	105800000	71980000	59354000	43773000	60439000	53327000	118540000	53359000	56989000	57384000	62063000	45460000	24862000	30488000	18268000	3651700	0	8968200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27094000	0	33205000	0	0	27872000
P02294	53132000	322080000	644520000	956370000	2217000	465680000	555770000	385380000	264710000	406850000	240610000	120560000	254270000	228740000	232650000	137240000	105800000	71980000	59354000	43773000	60439000	53327000	118540000	53359000	56989000	57384000	62063000	45460000	24862000	30488000	18268000	3651700	0	8968200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27094000	0	33205000	0	0	27872000
P02309	218610000	336020000	369930000	603940000	381300000	333610000	173870000	155880000	85943000	82933000	77631000	45166000	17342000	13435000	18583000	35035000	8790400	10598000	6286500	7183100	15313000	41750000	6295200	13351000	8659400	6683300	7450200	3709900	9548500	2600300	20856000	32946000	10161000	31860000	0	21733000	0	0	0	0	0	0	0	2872400	1254700	0	0	0	0	0	0	0	8982800	0	11026000	9134100	15981000	22227000	17127000	25976000	27932000	30799000	28844000	20520000	22429000	22190000	30469000	20659000	29613000	24856000
P02400	67730000	89150000	47245000	49095000	137930000	62465000	356620000	286680000	83641000	255520000	72317000	105130000	60816000	81643000	107310000	124500000	74082000	0	118120000	47421000	38072000	32283000	36833000	0	0	0	12565000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123990000	176900000	1771200000	799900000	375300000	0	120170000	79636000	51325000	9768200	47270000	33582000	31530000	39190000	24884000	19349000	15578000	0	5789200	0	17742000	18029000	0
P02406	0	15520000	7801900	1331600	0	3680800	14939000	118250000	98233000	0	0	5038000	4626900	0	0	0	0	0	0	0	0	0	5973900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02407	71480000	124830000	31296000	38254000	118110000	134680000	258010000	643440000	776400000	924240000	923850000	1311600000	556530000	354680000	251190000	104250000	54474000	11037000	16800000	9990700	4211600	11236000	13838000	6639000	9115400	10777000	8442000	12220000	5162600	4611300	0	0	8780600	11146000	13252000	0	0	0	0	0	0	0	0	12599000	0	0	0	0	0	0	59877000	72176000	62628000	0	35395000	55472000	48759000	65293000	48917000	54878000	58131000	46643000	51320000	66543000	88651000	48932000	96423000	77697000	126770000	123310000
